ADM1	PLACE_ID	LAT	LON	NAMEAD.06	G3039162	42.5	1.5	Sant Julia de Loria
BB.01	G3373988	13.1	-59.5	Christ Church
BD.83	G1337166	25.0	89.0	Rajshahi Division
BD.81	G1337179	23.8	90.2	Dhaka Division
BD.84	G1337200	22.9	91.5	Chittagong
BD.82	G1337210	22.9	89.3	Khulna Division
BD.85	G1337229	22.5	90.3	Barisal Division
BD.86	G1477362	24.7	91.7	Sylhet Division
BD.87	G7671048	25.8	89.0	Rangpur Division
BD.H	G11287936	24.7	90.4	Mymensingh Division
BE.BRU	G2800867	50.9	4.4	Bruxelles-Capitale
BE.WAL	G3337387	50.5	4.8	Wallonia
BE.VLG	G3337388	51.0	4.5	Flanders
BF.01	G6930701	12.5	-3.5	Boucle du Mouhoun Region
BF.02	G6930703	10.4	-4.5	Cascades Region
BF.03	G6930704	12.4	-1.5	Centre
BF.04	G6930705	11.8	-0.4	Centre-Est
BF.05	G6930706	13.1	-1.1	Centre-Nord
BF.06	G6930707	12.3	-2.4	Centre-Ouest
BF.07	G6930708	11.7	-1.1	Centre-Sud
BF.08	G6930709	12.1	0.4	Est
BF.09	G6930710	11.3	-4.3	High-Basins Region
BF.10	G6930711	13.6	-2.4	Nord
BF.11	G6930712	12.6	-1.3	Plateau-Central
BF.12	G6930713	14.0	-0.0	Sahel
BF.13	G6930714	10.5	-3.2	Southwest Region
BG.52	G453751	43.6	26.6	Oblast Razgrad
BG.47	G453753	43.5	23.2	Oblast Montana
BG.64	G725713	43.4	23.8	Oblast Vratsa
BG.61	G726051	43.2	27.6	Varna
BG.40	G726419	43.7	27.9	Oblast Dobrich
BG.58	G727012	42.7	23.8	Sofia
BG.53	G727524	43.7	26.0	Oblast Ruse
BG.51	G728194	42.3	24.8	Plovdiv
BG.50	G728204	43.5	24.6	Oblast Pleven
BG.49	G728331	42.6	22.9	Pernik
BG.48	G728379	42.1	24.2	Pazardzhik
BG.46	G729560	43.0	24.6	Lovech
BG.43	G730436	41.8	25.9	Haskovo
BG.42	G731061	42.7	23.4	Sofia-Grad
BG.39	G732771	42.5	27.2	Burgas
BG.38	G733192	41.7	23.4	Blagoevgrad
BG.41	G864552	43.0	25.2	Gabrovo
BG.44	G864553	41.5	25.4	Oblast Kardzhali
BG.45	G864554	42.2	22.9	Oblast Kyustendil
BG.54	G864555	43.3	27.0	Oblast Shumen
BG.55	G864556	43.9	27.1	Oblast Silistra
BG.56	G864557	42.7	26.3	Oblast Sliven
BG.57	G864558	41.6	24.6	Oblast Smolyan
BG.59	G864559	42.5	25.6	Oblast Stara Zagora
BG.60	G864560	43.3	26.4	Oblast Targovishte
BG.62	G864561	43.2	25.6	Oblast Veliko Tarnovo
BG.63	G864562	43.8	22.7	Oblast Vidin
BG.65	G864563	42.3	26.6	Oblast Yambol
BH.15	G290333	26.2	50.6	Muharraq Governorate
BH.16	G7090954	26.2	50.6	Capital Governorate
BH.17	G7090972	25.9	50.6	Southern Governorate
BH.19	G7090974	26.1	50.5	Northern Governorate
BI.17	G422233	-4.2	29.8	Makamba Province
BI.10	G423327	-3.9	29.6	Bururi Province
BI.22	G425550	-3.2	29.7	Muramvya Province
BI.13	G426271	-3.5	29.9	Gitega Province
BI.21	G426699	-3.5	30.3	Ruyigi Province
BI.11	G427700	-3.1	30.6	Cankuzo Province
BI.14	G428218	-3.1	30.1	Karuzi Province
BI.09	G428514	-3.1	29.4	Bubanza Province
BI.12	G430020	-2.9	29.2	Cibitoke Province
BI.19	G430567	-2.9	29.9	Ngozi Province
BI.15	G430951	-3.1	29.7	Kayanza Province
BI.18	G431747	-2.8	30.3	Muyinga Province
BI.16	G432455	-2.6	30.2	Kirundo Province
BI.20	G434147	-3.9	30.1	Rutana Province
BI.23	G434386	-3.5	29.7	Province de Mwaro
BI.24	G7303939	-3.4	29.4	Bujumbura Mairie Province
BI.25	G7303940	-3.5	29.5	Bujumbura Rural Province
BI.26	G11184798	-4.0	29.4	Rumonge Province
BJ.18	G2390719	7.2	2.2	Zou Department
BJ.16	G2392325	6.6	2.5	Departement de l'Oueme
BJ.15	G2392716	6.6	1.8	Mono
BJ.10	G2394992	9.8	2.8	Borgou Department
BJ.09	G2395504	6.7	2.2	Atlantique Department
BJ.08	G2395524	10.8	1.7	Atakora Department
BJ.07	G2597271	11.3	2.9	Alibori
BJ.11	G2597272	8.0	2.2	Collines Department
BJ.12	G2597273	7.1	1.8	Kouffo Department
BJ.13	G2597274	9.3	1.8	Donga
BJ.14	G2597275	6.4	2.4	Littoral
BJ.17	G2597277	7.2	2.6	Plateau Department
BM.11	G3572972	32.3	-64.8	Warwick Parish
BM.10	G3573026	32.3	-64.9	Southampton Parish
BM.09	G3573031	32.3	-64.7	Smith's Parish
BM.08	G3573050	32.3	-64.9	Sandys Parish
BM.07	G3573057	32.4	-64.7	Saint George's Parish
BM.06	G3573062	32.4	-64.7	Saint George
BM.05	G3573095	32.3	-64.8	Pembroke Parish
BM.04	G3573103	32.3	-64.8	Paget Parish
BM.02	G3573195	32.3	-64.7	Hamilton
BM.03	G3573198	32.3	-64.8	Hamilton City
BM.01	G3573251	32.3	-64.8	Devonshire Parish
BN.04	G1820068	4.6	114.7	Tutong
BN.03	G1820106	4.6	115.2	Temburong
BN.02	G1820818	4.9	114.9	Daerah Brunei dan Muara
BN.01	G1820869	4.3	114.6	Belait
BO.09	G3903319	-21.5	-64.0	Departamento de Tarija
BO.08	G3904907	-17.5	-61.5	Departamento de Santa Cruz
BO.07	G3907580	-20.7	-67.0	Departamento de Potosi
BO.06	G3908600	-11.3	-67.7	Departamento de Pando
BO.05	G3909233	-18.7	-67.5	Departamento de Oruro
BO.04	G3911924	-15.5	-68.0	Departamento de La Paz
BO.02	G3919966	-17.5	-65.7	Departamento de Cochabamba
BO.01	G3920177	-20.0	-64.3	Departamento de Chuquisaca
BO.03	G3923172	-14.0	-65.5	El Beni
BQ.BO	G7609816	12.2	-68.3	Bonaire
BQ.SB	G7610358	17.6	-63.2	Saba
